V1,Country,HDI,CPI,Region
149,Swaziland,0.522,3.1,SSA
150,Sweden,0.904,9.3,EU W. Europe
151,Switzerland,0.903,8.8,EU W. Europe
152,Syria,0.632,2.6,MENA
153,Tajikistan,0.607,2.3,East EU Cemt Asia
154,Tanzania,0.466,3,SSA
155,Thailand,0.682,3.4,Asia Pacific
156,Timor-Leste,0.495,2.4,Asia Pacific
157,Togo,0.435,2.4,SSA
158,Tonga,0.704,3.1,Asia Pacific
159,Trinidad and Tobago,0.76,3.2,Americas
160,Tunisia,0.698,3.8,MENA
161,Turkey,0.699,4.2,East EU Cemt Asia
162,Turkmenistan,0.686,1.6,East EU Cemt Asia
163,Uganda,0.446,2.4,SSA
164,Ukraine,0.729,2.3,East EU Cemt Asia
165,United Arab Emirates,0.846,6.8,MENA
166,United States,0.91,7.1,Americas
167,Uruguay,0.783,7,Americas
168,Uzbekistan,0.641,1.6,East EU Cemt Asia
169,Vanuatu,0.617,3.5,Asia Pacific
170,Venezuela,0.735,1.9,Americas
171,Yemen,0.462,2.1,MENA
172,Zambia,0.43,3.2,SSA
173,Zimbabwe,0.376,2.2,SSA
